jumlah cluster: 3

cluster 1 
jumlah anggota: 83 
------------------
93, B, Y, Y, Y, I, C, K, T, Y, T, WL, Y, WL, T, Q
35, B, Y, Y, Y, L, C, G, Y, Y, Y, WL, Y, WL, Y, R
32, A, Y, Y, Y, L, C, K, Y, Y, T, WL, T, WL, Y, R
80, C, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, S
6, B, Y, Y, Y, L, T, G, Y, Y, Y, WL, Y, WL, Y, R
59, B, Y, Y, Y, I, T, K, Y, T, Y, WL, T, WL, T, R
27, B, Y, Y, Y, L, C, K, Y, Y, Y, WL, Y, WL, Y, R
88, B, Y, Y, Y, L, C, G, Y, T, T, WL, T, WL, Y, R
62, B, Y, Y, Y, L, T, G, T, Y, T, WL, T, WL, Y, P
25, B, Y, Y, Y, L, C, K, Y, Y, Y, WL, Y, WL, Y, R
81, B, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, R
75, A, Y, Y, Y, I, C, K, Y, Y, T, WL, T, WM, Y, R
37, A, T, Y, Y, L, T, G, T, T, T, WL, T, WM, Y, R
48, B, Y, Y, Y, I, T, K, Y, Y, Y, WM, Y, WL, Y, S
19, B, Y, Y, Y, I, T, G, Y, Y, Y, WL, Y, WL, Y, P
15, A, Y, Y, Y, L, C, K, Y, Y, Y, WL, Y, WL, Y, R
66, B, Y, Y, Y, L, T, G, Y, Y, Y, WL, Y, WL, Y, R
24, A, Y, Y, Y, L, T, G, Y, Y, Y, WL, Y, WL, Y, R
8, B, T, Y, Y, I, T, G, Y, Y, Y, WM, Y, WL, Y, P
18, A, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, Q
43, A, Y, Y, Y, L, T, G, Y, Y, Y, WL, Y, WL, Y, R
68, B, Y, Y, Y, I, C, K, Y, Y, Y, WL, Y, WL, Y, R
96, B, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, R
63, B, Y, Y, Y, I, C, K, Y, Y, Y, WL, Y, WM, Y, R
95, A, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, Q
36, B, Y, Y, Y, L, T, G, T, T, T, WM, T, WL, Y, Q
11, B, Y, Y, Y, L, T, K, Y, Y, Y, WM, Y, WL, Y, S
92, A, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, R
38, B, Y, Y, Y, L, T, G, Y, T, T, WL, Y, WL, Y, P
77, B, Y, Y, Y, L, C, G, Y, T, Y, WL, Y, WL, Y, Q
20, B, Y, Y, Y, L, T, G, T, T, Y, WL, Y, WL, Y, R
100, B, Y, Y, Y, I, T, K, Y, T, T, WL, Y, WM, Y, R
28, B, T, Y, T, I, T, G, Y, Y, Y, WM, Y, WL, Y, S
71, B, Y, Y, Y, L, T, G, Y, Y, Y, WL, Y, WL, Y, R
52, A, Y, Y, T, I, C, K, Y, Y, Y, WL, Y, WL, Y, R
86, B, T, Y, Y, I, T, G, Y, Y, Y, WL, Y, WL, Y, R
14, B, T, Y, T, L, T, G, Y, Y, Y, WL, Y, WL, Y, R
17, A, Y, Y, T, L, C, G, Y, Y, Y, WL, Y, WL, Y, Q
91, C, Y, Y, Y, L, C, K, Y, Y, Y, WL, Y, WL, Y, R
64, C, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, R
41, B, T, Y, Y, L, T, G, Y, Y, Y, WL, Y, WL, T, R
47, B, Y, Y, Y, L, T, G, Y, T, Y, WL, Y, WM, Y, R
2, B, T, Y, Y, L, T, K, T, Y, Y, WL, Y, WL, Y, R
67, B, Y, Y, Y, I, T, K, Y, Y, Y, WL, Y, WL, T, S
12, A, Y, Y, Y, I, T, G, Y, Y, Y, WM, T, WM, Y, R
60, B, Y, Y, Y, L, T, K, Y, Y, Y, WM, Y, WL, Y, P
40, B, Y, Y, Y, L, T, G, Y, T, T, WL, Y, WL, Y, P
31, A, Y, Y, Y, L, C, G, Y, Y, Y, WM, Y, WL, T, R
53, B, Y, Y, Y, L, T, K, T, T, Y, WL, Y, WL, Y, R
76, B, Y, Y, Y, I, C, K, Y, Y, Y, WM, T, WL, Y, R
79, B, Y, Y, Y, I, C, K, Y, Y, Y, WL, Y, WL, Y, R
85, B, Y, T, Y, L, C, G, Y, Y, Y, WL, Y, WL, Y, R
13, B, T, Y, T, I, T, K, Y, Y, Y, WL, Y, WL, Y, Q
99, B, Y, Y, Y, I, C, K, Y, T, Y, WL, Y, WL, T, R
94, A, Y, Y, Y, L, T, K, T, Y, T, WL, T, WL, Y, Q
3, A, Y, Y, Y, L, C, K, Y, Y, Y, WL, Y, WL, Y, R
7, B, T, Y, Y, I, T, G, Y, Y, Y, WL, Y, WM, Y, P
42, B, Y, Y, Y, I, T, G, T, Y, T, WM, T, WL, Y, R
89, A, Y, Y, Y, L, C, G, T, T, Y, WL, Y, WL, Y, R
51, B, Y, Y, Y, I, C, K, Y, Y, Y, WM, Y, WL, Y, R
26, C, Y, Y, Y, L, C, K, Y, Y, T, WL, Y, WM, Y, Q
9, A, Y, Y, Y, I, T, K, Y, Y, Y, WL, Y, WL, Y, R
34, B, Y, Y, Y, L, C, K, Y, T, T, WL, T, WL, Y, Q
29, B, T, Y, T, I, T, G, Y, Y, Y, WM, Y, WL, Y, R
78, B, Y, Y, Y, L, T, K, Y, Y, Y, WL, T, WL, Y, S
58, B, Y, T, Y, L, T, K, T, T, Y, WL, Y, WL, Y, R
39, B, Y, Y, Y, L, T, G, Y, T, T, WL, Y, WL, Y, P
4, B, Y, Y, Y, L, T, G, T, Y, T, WL, T, WL, Y, P
